,,,,Website,,
BULGARIA,BG ALBENA01,VISSHE UCHILISHTE PO MENIDZHMANT,BUSINESS MANAGEMENT,https://erasmusapp.eu/,erasmusapp.eu,https://www.google.com/s2/favicons?domain=erasmusapp.eu&sz=256
,,,FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ACCOUNTING and TAX PRACTISES,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,SOFTWARE ENGINEERING,,,
,,,TOURISM AND HOTEL MANAGMENT,,,
,,,TOURISM GUIDANCE,,,
,,,ADVERTISEMENT,,,
,,,HUMAN RESOURCE MANAGEMENT,,,
,,,ECONOMICS AND FINANCE,,,
,,,GASTRONOMY AND CULINARY ARTS,,,
,BG GABROVO01,TECHNICAL UNIVERSITY - GABROVO,COMPUTER ENGINEERING,https://www.tugab.bg/en/international-cooperation/erasmus-programme,tugab.bg,https://www.google.com/s2/favicons?domain=tugab.bg&sz=256
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,MECHANICAL ENGINEERING,,,
,BG PLOVDIV02,MEDITCINSKY UNIVERSITET-PLOVDIV,DENTISTRY,https://mu-plovdiv.bg/en/erasmus/general-information/,mu-plovdiv.bg,https://www.google.com/s2/favicons?domain=mu-plovdiv.bg&sz=256
,BG PLOVDIV04,PLOVDIVSKI UNIVERSITET PAISIY HILENDARSKI,TRANSLATION and INTERPRETING (ENGLISH),https://iro.uni-plovdiv.bg/language/en/,iro.uni-plovdiv.bg,https://www.google.com/s2/favicons?domain=iro.uni-plovdiv.bg&sz=256
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,APPLIED RUSSIAN-TURKISH TRANSLATION,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,BG PLOVDIV07,"AKADEMIYA ZA MUZIKALNO, TANTZOVO I IZOBRAZITELNO IZKUSTVO ""PROF. ASEN DIAMANDIEV"" - PLOVDIV",ART AND CULTURE MANAGEMENT,https://try.artacademyplovdiv.com/EN/cooperation/erasmus_incoming.htm,try.artacademyplovdiv.com,https://www.google.com/s2/favicons?domain=try.artacademyplovdiv.com&sz=256
,,,TEXTILE and FASHION DESIGN,,,
,,,FASHION DESIGN,,,
,,,GRAPHIC DESIGN,,,
,BG PLOVDIV09,VU PO AGROBIZNES I RAZVITIE NA REGIONITE - PLOVDIV,BUSINESS MANAGEMENT,https://uard.bg/en/pages/view/167,uard.bg,https://www.google.com/s2/favicons?domain=uard.bg&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,BG ROUSSE01,UNIVERSITY OF RUSE ANGEL KANCHEV,ELECTRICAL and ELECTRONICS ENGINEERING,https://erasmus.uni-ruse.bg/bg/?cmd=gsIndex,erasmus.uni-ruse.bg,https://www.google.com/s2/favicons?domain=erasmus.uni-ruse.bg&sz=256
,,,MECHANICAL ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER and INSTRUCTIONAL TECHNOLOGIES EDUCATION ,,,
,,,COMPUTER PROGRAMMING,,,
,,,COMPUTER TECHNOLOGIES,,,
,,,SOFTWARE ENGINEERING / DEVELOPMENT,,,
,BG SHOUMEN01,SHUMENSKI UNIVERSITET EPISKOP KONSTANTIN PRESLAVSKI,TRANSLATION and INTERPRETING (English),https://erasmus-en.shu.bg/,erasmus-en.shu.bg,https://www.google.com/s2/favicons?domain=erasmus-en.shu.bg&sz=256
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,STATISTICS,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,ACCOUNTING and TAX PRACTISES ,,,
,,,MARKETING,,,
,,,BUSINESS MANAGEMENT,,,
,BG SOFIA08,NAZİONALNA HUDOJESTVENA AKADEMİA,GRAPHIC DESIGN,https://nha.bg/en/category/erasmus-28,nha.bg,https://www.google.com/s2/favicons?domain=nha.bg&sz=256
,,,TEXTILE and FASHION DESIGN,,,
,BG SOFIA11,MEDICAL UNIVERSITY SOFIA,DENTISTRY,https://mu-sofia.bg/en/international-activities/erasmus-programme/ka131/,mu-sofia.bg,https://www.google.com/s2/favicons?domain=mu-sofia.bg&sz=256
,,,NUTRITION AND DIETETICS,,,
,,,NURSING,,,
,,,HEALTH CARE MANAGEMENT,,,
,,,MEDICINE,,,
,BG SOFIA16,TECHNICAL UNIVERSITY OF SOFIA,ELECTRICAL and ELECTRONICS ENGINEERING,https://tu-sofia.bg/,tu-sofia.bg,https://www.google.com/s2/favicons?domain=tu-sofia.bg&sz=256
,,,ELECTRICAL TECHNOLOGY,,,
,,,ELECTRICITY,,,
,,,SOFTWARE ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,,,COMPUTER TECHNOLOGIES,,,
,BG SOFIA28,VISHE UCHILISHTE PO TELEKOMUNIKATSI I POSHTI,INTERNATIONAL TRADE AND FINANCE,https://www.utp.bg/international-activities/mobility/erasmus/,utp.bg,https://www.google.com/s2/favicons?domain=utp.bg&sz=256
,,,ECONOMICS AND FINANCE,,,
